entity1	entity2	pred_class
16121256.s166.e3	16121256.s166.e4	effect
16121256.s166.e2	16121256.s166.e6	norelation
16121256.s166.e1	16121256.s166.e6	norelation
16121256.s166.e5	16121256.s166.e6	norelation
16121256.s166.e4	16121256.s166.e6	norelation
16121256.s166.e1	16121256.s166.e2	norelation
16121256.s166.e2	16121256.s166.e5	norelation
16121256.s166.e2	16121256.s166.e4	effect
16121256.s166.e1	16121256.s166.e5	norelation
16121256.s166.e1	16121256.s166.e4	effect
16121256.s166.e4	16121256.s166.e5	norelation
16121256.s168.e1	16121256.s168.e2	advise
16121256.s173.e1	16121256.s173.e2	norelation
16121256.s174.e2	16121256.s174.e4	norelation
16121256.s174.e1	16121256.s174.e4	norelation
16121256.s174.e3	16121256.s174.e4	norelation
16121256.s174.e1	16121256.s174.e2	norelation
16121256.s174.e1	16121256.s174.e3	norelation
16121256.s181.e1	16121256.s181.e2	advise
16121256.s191.e2	16121256.s191.e4	norelation
16121256.s191.e1	16121256.s191.e2	norelation
16121256.s191.e2	16121256.s191.e3	norelation
16121256.s191.e2	16121256.s191.e5	norelation
16121256.s191.e1	16121256.s191.e4	norelation
16121256.s191.e3	16121256.s191.e4	norelation
16121256.s191.e4	16121256.s191.e5	norelation
16121256.s191.e1	16121256.s191.e3	norelation
16121256.s191.e1	16121256.s191.e5	norelation
16121256.s191.e3	16121256.s191.e5	norelation
15836427.s122.e1	15836427.s122.e2	norelation
17078885.s182.e1	17078885.s182.e3	norelation
17078885.s182.e1	17078885.s182.e2	norelation
17078885.s188.e1	17078885.s188.e3	norelation
17078885.s188.e1	17078885.s188.e2	effect
17608565.s31.e1	17608565.s31.e2	advise
17608565.s140.e1	17608565.s140.e3	norelation
17608565.s140.e2	17608565.s140.e3	norelation
17608565.s300.e1	17608565.s300.e2	norelation
17608565.s325.e3	17608565.s325.e4	norelation
17608565.s325.e4	17608565.s325.e5	norelation
17608565.s325.e2	17608565.s325.e4	norelation
17608565.s325.e1	17608565.s325.e4	norelation
17608565.s325.e3	17608565.s325.e5	norelation
17608565.s325.e2	17608565.s325.e3	norelation
17608565.s325.e1	17608565.s325.e3	norelation
17608565.s325.e2	17608565.s325.e5	norelation
17608565.s325.e1	17608565.s325.e5	norelation
17608565.s327.e1	17608565.s327.e2	norelation
17608565.s342.e1	17608565.s342.e3	norelation
17608565.s342.e1	17608565.s342.e4	norelation
17608565.s342.e3	17608565.s342.e4	norelation
17608565.s342.e2	17608565.s342.e3	norelation
17608565.s342.e2	17608565.s342.e4	norelation
17608565.s363.e1	17608565.s363.e2	advise
17608565.s368.e1	17608565.s368.e2	advise
17608565.s409.e1	17608565.s409.e2	norelation
17608565.s409.e1	17608565.s409.e3	norelation
17020410.s9.e1	17020410.s9.e2	norelation
17020410.s9.e2	17020410.s9.e3	norelation
17020410.s9.e2	17020410.s9.e4	norelation
17020410.s9.e1	17020410.s9.e3	norelation
17020410.s9.e3	17020410.s9.e4	norelation
16539743.s19.e2	16539743.s19.e3	norelation
16539743.s19.e1	16539743.s19.e2	effect
16539743.s19.e1	16539743.s19.e3	effect
16539743.s26.e2	16539743.s26.e3	norelation
16539743.s26.e1	16539743.s26.e3	norelation
16539743.s26.e1	16539743.s26.e2	norelation
16539743.s28.e1	16539743.s28.e2	norelation
16539743.s343.e1	16539743.s343.e2	norelation
16539743.s344.e1	16539743.s344.e2	norelation
16539743.s348.e1	16539743.s348.e2	norelation
16539743.s351.e1	16539743.s351.e2	norelation
16539743.s351.e1	16539743.s351.e3	norelation
16539743.s369.e5	16539743.s369.e8	norelation
16539743.s369.e5	16539743.s369.e6	norelation
16539743.s369.e3	16539743.s369.e5	norelation
16539743.s369.e2	16539743.s369.e5	norelation
16539743.s369.e4	16539743.s369.e5	norelation
16539743.s369.e1	16539743.s369.e5	norelation
16539743.s369.e5	16539743.s369.e7	norelation
16539743.s369.e6	16539743.s369.e8	norelation
16539743.s369.e3	16539743.s369.e8	effect
16539743.s369.e2	16539743.s369.e8	norelation
16539743.s369.e4	16539743.s369.e8	effect
16539743.s369.e1	16539743.s369.e8	norelation
16539743.s369.e7	16539743.s369.e8	effect
16539743.s369.e3	16539743.s369.e6	norelation
16539743.s369.e2	16539743.s369.e6	norelation
16539743.s369.e4	16539743.s369.e6	norelation
16539743.s369.e1	16539743.s369.e6	norelation
16539743.s369.e6	16539743.s369.e7	norelation
16539743.s369.e2	16539743.s369.e3	norelation
16539743.s369.e3	16539743.s369.e4	norelation
16539743.s369.e1	16539743.s369.e3	norelation
16539743.s369.e3	16539743.s369.e7	norelation
16539743.s369.e2	16539743.s369.e4	norelation
16539743.s369.e2	16539743.s369.e7	norelation
16539743.s369.e1	16539743.s369.e4	norelation
16539743.s369.e4	16539743.s369.e7	norelation
16539743.s369.e1	16539743.s369.e7	norelation
16539743.s372.e1	16539743.s372.e3	norelation
16539743.s372.e3	16539743.s372.e4	norelation
16539743.s372.e2	16539743.s372.e3	norelation
16539743.s372.e1	16539743.s372.e4	norelation
16539743.s372.e2	16539743.s372.e4	norelation
16539743.s373.e1	16539743.s373.e2	norelation
16539743.s373.e2	16539743.s373.e3	norelation
16539743.s373.e2	16539743.s373.e4	norelation
16539743.s373.e2	16539743.s373.e5	norelation
16539743.s373.e1	16539743.s373.e3	norelation
16539743.s373.e1	16539743.s373.e4	norelation
16539743.s373.e1	16539743.s373.e5	norelation
16539743.s373.e3	16539743.s373.e4	norelation
16539743.s373.e3	16539743.s373.e5	norelation
16539743.s373.e4	16539743.s373.e5	norelation
16539743.s374.e1	16539743.s374.e2	norelation
16216087.s1.e1	16216087.s1.e2	effect
16216087.s14.e1	16216087.s14.e2	norelation
16216087.s15.e1	16216087.s15.e2	norelation
16216087.s16.e1	16216087.s16.e3	norelation
16216087.s16.e1	16216087.s16.e2	norelation
16216087.s17.e1	16216087.s17.e2	norelation
16216087.s42.e1	16216087.s42.e2	norelation
16216087.s46.e1	16216087.s46.e2	norelation
16216087.s53.e1	16216087.s53.e2	norelation
16216087.s55.e2	16216087.s55.e4	norelation
16216087.s55.e1	16216087.s55.e4	norelation
16216087.s55.e3	16216087.s55.e4	norelation
16216087.s55.e1	16216087.s55.e2	norelation
16216087.s55.e2	16216087.s55.e3	norelation
16216087.s55.e1	16216087.s55.e3	norelation
16216087.s57.e1	16216087.s57.e3	norelation
16216087.s57.e1	16216087.s57.e4	norelation
16216087.s63.e1	16216087.s63.e2	norelation
16216087.s127.e1	16216087.s127.e2	norelation
16216087.s132.e1	16216087.s132.e2	norelation
16216087.s159.e1	16216087.s159.e2	norelation
16216087.s204.e1	16216087.s204.e2	norelation
16216087.s210.e1	16216087.s210.e3	norelation
16216087.s210.e3	16216087.s210.e5	norelation
16216087.s210.e2	16216087.s210.e3	norelation
16216087.s210.e3	16216087.s210.e4	norelation
16216087.s210.e1	16216087.s210.e5	norelation
16216087.s210.e1	16216087.s210.e4	norelation
16216087.s210.e2	16216087.s210.e5	norelation
16216087.s210.e4	16216087.s210.e5	norelation
16216087.s210.e2	16216087.s210.e4	norelation
16216087.s241.e1	16216087.s241.e3	norelation
16216087.s241.e2	16216087.s241.e3	norelation
16216087.s241.e1	16216087.s241.e2	norelation
16216087.s243.e1	16216087.s243.e2	norelation
16216087.s246.e1	16216087.s246.e2	norelation
16216087.s305.e2	16216087.s305.e4	norelation
16216087.s305.e3	16216087.s305.e4	norelation
16216087.s305.e1	16216087.s305.e4	norelation
16216087.s305.e2	16216087.s305.e3	norelation
16216087.s305.e1	16216087.s305.e2	norelation
16216087.s305.e1	16216087.s305.e3	norelation
16216087.s310.e1	16216087.s310.e2	norelation
15328533.s52.e1	15328533.s52.e3	norelation
15328533.s52.e1	15328533.s52.e2	norelation
15328533.s52.e2	15328533.s52.e3	norelation
15328533.s71.e1	15328533.s71.e3	norelation
15328533.s71.e1	15328533.s71.e2	norelation
15328533.s71.e2	15328533.s71.e3	norelation
15328533.s119.e1	15328533.s119.e2	norelation
16279840.s19.e1	16279840.s19.e2	norelation
16279840.s21.e1	16279840.s21.e2	norelation
16279840.s24.e2	16279840.s24.e5	norelation
16279840.s24.e1	16279840.s24.e5	norelation
16279840.s24.e5	16279840.s24.e6	norelation
16279840.s24.e3	16279840.s24.e5	norelation
16279840.s24.e1	16279840.s24.e2	norelation
16279840.s24.e2	16279840.s24.e3	norelation
16279840.s24.e2	16279840.s24.e4	norelation
16279840.s24.e1	16279840.s24.e6	norelation
16279840.s24.e1	16279840.s24.e3	norelation
16279840.s24.e1	16279840.s24.e4	norelation
16279840.s24.e4	16279840.s24.e6	norelation
16279840.s38.e1	16279840.s38.e2	norelation
16279840.s40.e2	16279840.s40.e3	norelation
16279840.s40.e1	16279840.s40.e3	norelation
16279840.s40.e1	16279840.s40.e2	norelation
16279840.s41.e1	16279840.s41.e2	norelation
16279840.s45.e1	16279840.s45.e3	advise
16279840.s45.e1	16279840.s45.e2	advise
16279840.s56.e2	16279840.s56.e3	norelation
16279840.s56.e2	16279840.s56.e5	norelation
16279840.s56.e2	16279840.s56.e4	norelation
16279840.s56.e3	16279840.s56.e5	norelation
16279840.s56.e1	16279840.s56.e3	norelation
16279840.s56.e3	16279840.s56.e4	norelation
16279840.s56.e1	16279840.s56.e5	norelation
16279840.s56.e4	16279840.s56.e5	norelation
16279840.s56.e1	16279840.s56.e4	norelation
16279840.s58.e1	16279840.s58.e2	norelation
16279840.s59.e1	16279840.s59.e2	advise
16279840.s60.e1	16279840.s60.e2	norelation
16279840.s66.e1	16279840.s66.e2	norelation
16279840.s69.e1	16279840.s69.e2	effect
16279840.s70.e2	16279840.s70.e5	norelation
16279840.s70.e3	16279840.s70.e5	advise
16279840.s70.e1	16279840.s70.e5	advise
16279840.s70.e2	16279840.s70.e3	norelation
16279840.s70.e2	16279840.s70.e4	norelation
16279840.s70.e1	16279840.s70.e2	norelation
16279840.s70.e3	16279840.s70.e4	norelation
16279840.s70.e1	16279840.s70.e3	norelation
16279840.s70.e1	16279840.s70.e4	norelation
16279840.s71.e1	16279840.s71.e2	norelation
16279840.s71.e2	16279840.s71.e4	norelation
16279840.s71.e1	16279840.s71.e4	norelation
16279840.s71.e1	16279840.s71.e3	norelation
16279840.s71.e3	16279840.s71.e4	norelation
16279840.s72.e4	16279840.s72.e7	norelation
16279840.s72.e5	16279840.s72.e7	norelation
16279840.s72.e2	16279840.s72.e7	norelation
16279840.s72.e1	16279840.s72.e7	norelation
16279840.s72.e4	16279840.s72.e5	norelation
16279840.s72.e4	16279840.s72.e6	norelation
16279840.s72.e2	16279840.s72.e4	norelation
16279840.s72.e1	16279840.s72.e4	norelation
16279840.s72.e5	16279840.s72.e6	norelation
16279840.s72.e2	16279840.s72.e5	norelation
16279840.s72.e1	16279840.s72.e5	norelation
16279840.s72.e1	16279840.s72.e6	norelation
16279840.s72.e1	16279840.s72.e2	mechanism
16279840.s73.e1	16279840.s73.e2	norelation
16279840.s73.e1	16279840.s73.e3	norelation
16279840.s73.e2	16279840.s73.e3	norelation
16279840.s74.e1	16279840.s74.e3	norelation
16279840.s74.e1	16279840.s74.e2	norelation
16279840.s75.e2	16279840.s75.e3	mechanism
16279840.s75.e1	16279840.s75.e2	mechanism
16279840.s75.e1	16279840.s75.e3	mechanism
16279840.s76.e1	16279840.s76.e2	norelation
16279840.s77.e2	16279840.s77.e3	norelation
16279840.s77.e1	16279840.s77.e3	norelation
16279840.s77.e1	16279840.s77.e2	norelation
16279840.s78.e1	16279840.s78.e2	norelation
16279840.s79.e1	16279840.s79.e2	norelation
16279840.s79.e1	16279840.s79.e4	norelation
16279840.s79.e1	16279840.s79.e3	norelation
16279840.s79.e2	16279840.s79.e4	norelation
16279840.s79.e2	16279840.s79.e3	norelation
16279840.s79.e3	16279840.s79.e4	norelation
16279840.s86.e1	16279840.s86.e2	norelation
16279840.s87.e1	16279840.s87.e2	advise
16279840.s90.e1	16279840.s90.e2	norelation
16279840.s90.e1	16279840.s90.e3	norelation
16279840.s92.e1	16279840.s92.e2	advise
16279840.s107.e1	16279840.s107.e2	norelation
16279840.s114.e1	16279840.s114.e2	norelation
16279840.s115.e1	16279840.s115.e2	norelation
16279840.s116.e1	16279840.s116.e2	norelation
16279840.s135.e1	16279840.s135.e2	norelation
16279840.s136.e1	16279840.s136.e2	norelation
16279840.s136.e2	16279840.s136.e3	norelation
16279840.s136.e1	16279840.s136.e3	norelation
16279840.s137.e2	16279840.s137.e3	norelation
16279840.s137.e1	16279840.s137.e2	norelation
16279840.s137.e1	16279840.s137.e3	norelation
16279840.s161.e1	16279840.s161.e2	advise
16279840.s161.e1	16279840.s161.e3	advise
16279840.s161.e2	16279840.s161.e3	mechanism
16279840.s162.e1	16279840.s162.e2	norelation
16279840.s192.e1	16279840.s192.e2	effect
16279840.s199.e1	16279840.s199.e2	norelation
16279840.s210.e1	16279840.s210.e2	norelation
16279840.s217.e1	16279840.s217.e2	norelation
16279840.s220.e1	16279840.s220.e2	norelation
16279840.s220.e1	16279840.s220.e5	norelation
16279840.s220.e1	16279840.s220.e3	norelation
16279840.s220.e1	16279840.s220.e4	norelation
16279840.s220.e2	16279840.s220.e5	norelation
16279840.s220.e2	16279840.s220.e3	norelation
16279840.s220.e2	16279840.s220.e4	norelation
16279840.s220.e3	16279840.s220.e5	norelation
16279840.s220.e4	16279840.s220.e5	norelation
16279840.s220.e3	16279840.s220.e4	norelation
16279840.s224.e1	16279840.s224.e2	norelation
16279840.s249.e1	16279840.s249.e2	norelation
16279840.s251.e1	16279840.s251.e2	effect
16279840.s302.e1	16279840.s302.e2	norelation
16279840.s316.e5	16279840.s316.e8	norelation
16279840.s316.e3	16279840.s316.e8	norelation
16279840.s316.e1	16279840.s316.e8	norelation
16279840.s316.e8	16279840.s316.e9	norelation
16279840.s316.e7	16279840.s316.e8	norelation
16279840.s316.e6	16279840.s316.e8	norelation
16279840.s316.e4	16279840.s316.e8	norelation
16279840.s316.e2	16279840.s316.e8	norelation
16279840.s316.e3	16279840.s316.e5	norelation
16279840.s316.e1	16279840.s316.e5	norelation
16279840.s316.e5	16279840.s316.e9	norelation
16279840.s316.e5	16279840.s316.e7	norelation
16279840.s316.e5	16279840.s316.e6	norelation
16279840.s316.e4	16279840.s316.e5	norelation
16279840.s316.e2	16279840.s316.e5	norelation
16279840.s316.e1	16279840.s316.e3	norelation
16279840.s316.e3	16279840.s316.e9	norelation
16279840.s316.e3	16279840.s316.e7	norelation
16279840.s316.e3	16279840.s316.e6	norelation
16279840.s316.e1	16279840.s316.e7	norelation
16279840.s316.e1	16279840.s316.e6	norelation
16279840.s316.e1	16279840.s316.e4	norelation
16279840.s316.e7	16279840.s316.e9	norelation
16279840.s316.e6	16279840.s316.e9	norelation
16279840.s316.e4	16279840.s316.e9	norelation
16279840.s316.e2	16279840.s316.e9	norelation
16279840.s316.e4	16279840.s316.e7	norelation
16279840.s316.e2	16279840.s316.e7	norelation
16279840.s316.e4	16279840.s316.e6	norelation
16279840.s316.e2	16279840.s316.e6	norelation
16279840.s316.e2	16279840.s316.e4	norelation
16279840.s324.e1	16279840.s324.e2	norelation
16279840.s336.e1	16279840.s336.e2	norelation
16279840.s366.e1	16279840.s366.e2	norelation
16098226.s91.e1	16098226.s91.e2	norelation
17069463.s35.e1	17069463.s35.e2	norelation
17069463.s42.e1	17069463.s42.e2	norelation
17069463.s66.e1	17069463.s66.e2	norelation
17069463.s75.e1	17069463.s75.e2	norelation
17069463.s134.e1	17069463.s134.e2	norelation
17069463.s138.e1	17069463.s138.e2	norelation
17069463.s185.e1	17069463.s185.e2	norelation
17069463.s224.e2	17069463.s224.e6	norelation
17069463.s224.e2	17069463.s224.e5	norelation
17069463.s224.e1	17069463.s224.e2	norelation
17069463.s224.e2	17069463.s224.e7	norelation
17069463.s224.e2	17069463.s224.e4	norelation
17069463.s224.e2	17069463.s224.e3	norelation
17069463.s224.e5	17069463.s224.e6	norelation
17069463.s224.e1	17069463.s224.e6	norelation
17069463.s224.e6	17069463.s224.e7	norelation
17069463.s224.e4	17069463.s224.e6	norelation
17069463.s224.e3	17069463.s224.e6	norelation
17069463.s224.e1	17069463.s224.e5	norelation
17069463.s224.e5	17069463.s224.e7	norelation
17069463.s224.e4	17069463.s224.e5	norelation
17069463.s224.e3	17069463.s224.e5	norelation
17069463.s224.e1	17069463.s224.e7	norelation
17069463.s224.e1	17069463.s224.e4	norelation
17069463.s224.e1	17069463.s224.e3	norelation
17069463.s224.e4	17069463.s224.e7	norelation
17069463.s224.e3	17069463.s224.e7	norelation
17069463.s252.e2	17069463.s252.e6	norelation
17069463.s252.e2	17069463.s252.e4	norelation
17069463.s252.e2	17069463.s252.e7	norelation
17069463.s252.e1	17069463.s252.e2	norelation
17069463.s252.e2	17069463.s252.e5	norelation
17069463.s252.e2	17069463.s252.e3	norelation
17069463.s252.e4	17069463.s252.e6	norelation
17069463.s252.e6	17069463.s252.e7	norelation
17069463.s252.e1	17069463.s252.e6	norelation
17069463.s252.e5	17069463.s252.e6	norelation
17069463.s252.e3	17069463.s252.e6	norelation
17069463.s252.e4	17069463.s252.e7	norelation
17069463.s252.e1	17069463.s252.e4	norelation
17069463.s252.e3	17069463.s252.e4	norelation
17069463.s252.e1	17069463.s252.e7	norelation
17069463.s252.e5	17069463.s252.e7	norelation
17069463.s252.e3	17069463.s252.e7	norelation
17069463.s252.e1	17069463.s252.e5	norelation
17069463.s252.e1	17069463.s252.e3	norelation
17069463.s252.e3	17069463.s252.e5	norelation
17069463.s254.e1	17069463.s254.e3	norelation
17069463.s254.e2	17069463.s254.e3	norelation
17069463.s263.e1	17069463.s263.e2	norelation
17590087.s62.e1	17590087.s62.e2	mechanism
17590087.s89.e5	17590087.s89.e7	norelation
17590087.s89.e3	17590087.s89.e5	norelation
17590087.s89.e2	17590087.s89.e5	norelation
17590087.s89.e5	17590087.s89.e6	norelation
17590087.s89.e1	17590087.s89.e5	norelation
17590087.s89.e4	17590087.s89.e5	norelation
17590087.s89.e3	17590087.s89.e7	norelation
17590087.s89.e2	17590087.s89.e7	norelation
17590087.s89.e6	17590087.s89.e7	norelation
17590087.s89.e1	17590087.s89.e7	norelation
17590087.s89.e4	17590087.s89.e7	norelation
17590087.s89.e2	17590087.s89.e3	norelation
17590087.s89.e3	17590087.s89.e6	norelation
17590087.s89.e1	17590087.s89.e3	norelation
17590087.s89.e3	17590087.s89.e4	norelation
17590087.s89.e2	17590087.s89.e6	norelation
17590087.s89.e2	17590087.s89.e4	norelation
17590087.s89.e1	17590087.s89.e6	norelation
17590087.s89.e4	17590087.s89.e6	norelation
17590087.s89.e1	17590087.s89.e4	norelation
17590087.s96.e1	17590087.s96.e2	norelation
17590087.s98.e1	17590087.s98.e2	norelation
17590087.s130.e1	17590087.s130.e2	norelation
17590087.s158.e1	17590087.s158.e2	norelation
17022820.s20.e1	17022820.s20.e2	norelation
17022820.s48.e1	17022820.s48.e2	norelation
17022820.s58.e1	17022820.s58.e2	norelation
17022820.s62.e1	17022820.s62.e2	norelation
17022820.s64.e1	17022820.s64.e2	norelation
17022820.s113.e1	17022820.s113.e2	effect
16670015.s208.e1	16670015.s208.e2	norelation
16670015.s280.e1	16670015.s280.e2	norelation
16670015.s338.e1	16670015.s338.e2	norelation
12925238.s1.e1	12925238.s1.e2	norelation
12925238.s15.e1	12925238.s15.e2	norelation
12925238.s17.e1	12925238.s17.e2	norelation
12925238.s17.e2	12925238.s17.e3	norelation
12925238.s17.e2	12925238.s17.e4	norelation
12925238.s17.e1	12925238.s17.e3	norelation
12925238.s17.e1	12925238.s17.e4	norelation
12925238.s17.e3	12925238.s17.e4	norelation
12925238.s23.e1	12925238.s23.e3	norelation
12925238.s23.e2	12925238.s23.e3	norelation
12925238.s43.e1	12925238.s43.e3	norelation
12925238.s53.e1	12925238.s53.e2	norelation
12925238.s59.e1	12925238.s59.e3	norelation
12925238.s99.e1	12925238.s99.e2	norelation
12925238.s128.e1	12925238.s128.e2	norelation
12925238.s146.e1	12925238.s146.e3	norelation
12925238.s146.e1	12925238.s146.e2	norelation
12925238.s146.e2	12925238.s146.e3	norelation
12925238.s147.e1	12925238.s147.e2	advise
12925238.s153.e1	12925238.s153.e2	mechanism
12925238.s167.e2	12925238.s167.e3	norelation
12925238.s167.e1	12925238.s167.e3	norelation
12925238.s167.e1	12925238.s167.e2	norelation
12925238.s188.e1	12925238.s188.e4	norelation
12925238.s188.e1	12925238.s188.e5	norelation
12925238.s188.e1	12925238.s188.e2	norelation
12925238.s188.e1	12925238.s188.e3	norelation
12925238.s188.e2	12925238.s188.e4	norelation
12925238.s188.e3	12925238.s188.e4	norelation
12925238.s188.e2	12925238.s188.e3	norelation
12925238.s189.e1	12925238.s189.e4	norelation
12925238.s189.e1	12925238.s189.e3	norelation
12925238.s189.e1	12925238.s189.e5	norelation
12925238.s189.e2	12925238.s189.e4	norelation
12925238.s189.e3	12925238.s189.e4	norelation
12925238.s189.e4	12925238.s189.e5	norelation
12925238.s189.e2	12925238.s189.e3	norelation
12925238.s189.e2	12925238.s189.e5	norelation
12925238.s189.e3	12925238.s189.e5	norelation
12925238.s195.e1	12925238.s195.e2	norelation
12925238.s196.e1	12925238.s196.e2	norelation
12925238.s196.e2	12925238.s196.e3	norelation
12925238.s196.e2	12925238.s196.e4	norelation
12925238.s196.e2	12925238.s196.e5	norelation
12925238.s196.e1	12925238.s196.e3	norelation
12925238.s196.e1	12925238.s196.e4	norelation
12925238.s196.e1	12925238.s196.e5	norelation
12925238.s196.e3	12925238.s196.e4	norelation
12925238.s196.e3	12925238.s196.e5	norelation
12925238.s202.e1	12925238.s202.e2	norelation
12925238.s202.e2	12925238.s202.e3	norelation
12925238.s202.e1	12925238.s202.e3	norelation
12925238.s203.e3	12925238.s203.e4	norelation
12925238.s203.e1	12925238.s203.e4	norelation
12925238.s203.e2	12925238.s203.e4	norelation
12925238.s204.e2	12925238.s204.e3	norelation
12925238.s212.e1	12925238.s212.e2	norelation
12925238.s214.e1	12925238.s214.e3	norelation
12925238.s214.e2	12925238.s214.e3	norelation
16109169.s195.e2	16109169.s195.e3	norelation
16109169.s195.e1	16109169.s195.e3	effect
16109169.s195.e1	16109169.s195.e2	norelation
16462940.s190.e1	16462940.s190.e2	norelation
16462940.s190.e1	16462940.s190.e3	norelation
15917436.s27.e1	15917436.s27.e2	effect
15917436.s43.e3	15917436.s43.e4	norelation
15917436.s43.e2	15917436.s43.e3	norelation
15917436.s43.e3	15917436.s43.e5	norelation
15917436.s43.e1	15917436.s43.e3	norelation
15917436.s43.e2	15917436.s43.e4	norelation
15917436.s43.e4	15917436.s43.e5	norelation
15917436.s43.e1	15917436.s43.e4	norelation
15917436.s43.e2	15917436.s43.e5	norelation
15917436.s43.e1	15917436.s43.e2	norelation
15917436.s43.e1	15917436.s43.e5	norelation
15917436.s47.e1	15917436.s47.e2	advise
15917436.s50.e3	15917436.s50.e5	norelation
15917436.s50.e1	15917436.s50.e5	norelation
15917436.s50.e4	15917436.s50.e5	norelation
15917436.s50.e5	15917436.s50.e6	norelation
15917436.s50.e5	15917436.s50.e7	norelation
15917436.s50.e2	15917436.s50.e5	norelation
15917436.s50.e1	15917436.s50.e3	norelation
15917436.s50.e3	15917436.s50.e4	norelation
15917436.s50.e3	15917436.s50.e6	norelation
15917436.s50.e3	15917436.s50.e7	norelation
15917436.s50.e2	15917436.s50.e3	norelation
15917436.s50.e1	15917436.s50.e4	norelation
15917436.s50.e1	15917436.s50.e6	norelation
15917436.s50.e1	15917436.s50.e7	norelation
15917436.s50.e1	15917436.s50.e2	norelation
15917436.s50.e4	15917436.s50.e6	norelation
15917436.s50.e4	15917436.s50.e7	norelation
15917436.s50.e2	15917436.s50.e4	norelation
15917436.s50.e6	15917436.s50.e7	norelation
15917436.s50.e2	15917436.s50.e6	norelation
15917436.s50.e2	15917436.s50.e7	norelation
15917436.s51.e1	15917436.s51.e3	advise
15917436.s51.e1	15917436.s51.e2	effect
15917436.s51.e2	15917436.s51.e3	norelation
15917436.s55.e1	15917436.s55.e8	norelation
15917436.s55.e3	15917436.s55.e8	norelation
15917436.s55.e4	15917436.s55.e8	norelation
15917436.s55.e5	15917436.s55.e8	norelation
15917436.s55.e7	15917436.s55.e8	norelation
15917436.s55.e2	15917436.s55.e8	norelation
15917436.s55.e6	15917436.s55.e8	norelation
